Course Title Grd R Crs Att Crs Cmpt Grade,Points
DAN 2505 Dance II P 0.00 3.00,0.0000
MUSIC 1376 Private Instruction Voice A 1.00 1.00,4.0000
BIOL 1010 Human Sexuality I A 3.00 3.00,12.0000
EDUC 3309 Sem Professional Prac III A 3.00 3.00,12.0000
EDUC 6819 Language Develop Lit II A 3.00 3.00,12.0000
THEA 4420 Advanced Acting A 3.00 3.00,11.0100
EDUC 3403 Field Experience III A 2.00 2.00,8.0000
Term 20 SP Totals 15.00 18.00 59.01 GPA,3.93
Cumulative Totals 102.00 117.00 389.76 GPA,3.82
DAN 2020 Basic Tap A 3.00 3.00,11.0100
MUSIC 1380 Private Instruction Voice II A 1.00 1.00,3.6700
THEA 2312 Children s Theater II A 1.00 1.00,4.0000
THEA 2340 Advanced Musical Theater Wkshp A 3.00 3.00,12.0000
THEA 4421 Advanced Acting II A 3.00 3.00,11.0100
EDUC 6820 Prob-Based Strat for Elem Math A 3.00 3.00,12.0000
EDUC 7763 Human Relations Conflict Res A 3.00 3.00,12.0000
Term 20 FA Totals 17.00 17.00 65.69 GPA,3.86
Cumulative Totals 119.00 134.00 455.45 GPA,3.83
EDUC 6893 Evaluation and Measurement A 3.00 3.00,12.0000
MATH 1155 Mathematical Ideas A 3.00 3.00,12.0000
MUSIC 1401 Private Instruction Voice III A 1.00 1.00,4.0000
SOAC 4006 Professional Practice Theater A 3.00 3.00,12.0000
EDUC 3404 Field Experience IV A 2.00 2.00,8.0000
DAN 2022 Ballet II A 3.00 3.00,12.0000
Term 21 SP Totals 15.00 15.00 60.00 GPA,4.00
Cumulative Totals 134.00 149.00 515.45 GPA,3.85
EDUC 6583 Advanced Clinical Practice A 2.00 2.00,8.0000
EDUC 6584 Comp as Teach Aid Curr&Instr A 3.00 3.00,12.0000
EDUC 6661 The Multicultural Classroom A 3.00 3.00,12.0000
EDUC 7812 Final Project A 2.00 2.00,8.0000
Term 21 FA Totals 10.00 10.00 40.00 GPA,4.00
Cumulative Totals 144.00 159.00 555.45 GPA,3.86
EDUC 6575 Apprentice Teaching A 6.00 6.00,24.0000
EDUC 6740 Intro Stud Disability-Autism A 3.00 3.00,12.0000
EDUC 6825 Apprenticeship Teachng Seminar A 2.00 2.00,8.0000
Term 22 SP Totals 11.00 11.00 44.00 GPA,4.00
Cumulative Totals 155.00 170.00 599.45 GPA,3.87
THEA 2311 Children s Theater A 3.00 3.00,11.0100
DAN 1320 Beginning Dance I A 3.00 3.00,11.0100
EDUC 6818 Language Develop Lit I A 3.00 3.00,11.0100
THEAH 3337 Night At the Theater A 3.00 3.00,12.0000
THEA 2339 Musical Theater Workshop A 3.00 3.00,12.0000
MUSIH 3344 History of the Musical A 3.00 3.00,12.0000
Term 19 FA Totals 18.00 18.00 69.03 GPA,3.84
Cumulative Totals 87.00 99.00 330.75 GPA,3.80
EDUC 2402 Field Experience II A 1.00 1.00,3.6700
ART 3415 Develop of British Painting A 3.00 3.00,12.0000
INTER 3430 Anatomy Contemporary Britain A 3.00 3.00,11.0100
UNIV 2001 Cross Cultural Perspectives A 3.00 3.00,11.0100
UNIV 2002 Global Issues A 3.00 3.00,11.0100
ENGL 3424 To Hold the Mirror to Nature A 3.00 3.00,12.0000
MUSIC 1020 Chorus A 1.00 1.00,4.0000
Term 19 SP Totals 17.00 17.00 64.70 GPA,3.81
Cumulative Totals 69.00 81.00 261.72 GPA,3.79
BIOL 1007 Animal Biology A 4.00 4.00,16.0000
BIOL 1017 Lab Animal,Biology
COMM 2099 Professional Communications A 3.00 3.00,12.0000
PHIL 1103 Ethics A 3.00 3.00,12.0000
PSYC 1201 General Psychology A 3.00 3.00,11.0100
UNIV 1002 Prep for Professional Life A 1.00 1.00,4.0000
EDUC 2401 Field Experience I A 1.00 1.00,4.0000
THEA 1203 Basic Acting I B 3.00 3.00,9.0000
Term 18 SP Totals 18.00 18.00 68.01 GPA,3.78
Cumulative Totals 35.00 47.00 133.01 GPA,3.80
MUSIC 1022 Chorus II A 1.00 1.00,4.0000
PSYC 3001 Human Development-Child A 3.00 3.00,12.0000
SPAN 1002 Beginning Spanish II A 3.00 3.00,12.0000
SPAN 1008 Spanish Practicum II A 1.00 1.00,4.0000
THEAH 1202 Dev of Theater Rest Honors A 3.00 3.00,12.0000
THEA 2204 Intermediate Acting B 3.00 3.00,8.0100
EDUC 2209 Seminar Prof Practice II A 3.00 3.00,12.0000
Term 18 FA Totals 17.00 17.00 64.01 GPA,3.77
Cumulative Totals 52.00 64.00 197.02 GPA,3.79
Course Title Grd R Crs Att Crs Cmpt Grade,Points
HIST 1150 World History to 1500 0.00 3.00,0.0000
HIST 1151 World History since 1500 0.00 3.00,0.0000
Term 17 SP Totals 0.00 6.00 0.00 GPA,0.00
Cumulative Totals 0.00 6.00 0.00 GPA,0.00
HIST 1130 The United States to 1877 0.00 3.00,0.0000
ENGW 1101 College Writing Workshop 0.00 3.00,0.0000
Term 17 SU Totals 0.00 6.00 0.00 GPA,0.00
Cumulative Totals 0.00 12.00 0.00 GPA,0.00
SPCH 1204 Voice for the Actor I A 3.00 3.00,12.0000
MATH 1126 Contemporary Mathematics A 3.00 3.00,12.0000
