Current Special :,Elementary Education
Campus Location.,Florham Campus

Course,,Title,Grd R,Crs Att,Crs Cmpt,Grade Points
MUSIC,1022,Chorus II,A,1.00,1.00,4.0000
PSYC,3001,Human Development Child,A,3.00,3.00,12.0000
SPAN,1002,Beginning Spanish II,A,3.00,3.00,12.0000
SPAN,1008,Spanish Practicum II,A,1.00,1.00,4.0000
THEAH,1202,Dev of Theater: Rest (Honors),A,3.00,3.00,12.0000
THEA,2204,Intermediate Acting,B-,3.00,3.00,8.0100
EDUC,2209,Seminar: Prof Practice II,A,3.00,3.00,12.0000
,Term,18/FA Totals: 17.00 17.00,64.01,GPA =,3.77,
,,Cumulative Totals: 52.00 64.00,197.02,GPA =,3.79,
,,Academic Standing for Term 18/FA:,HONORS,LIST -,02/17/19,
,,Academic Standing for Term 18/FA:,PHI,ZETA KAPPA,-,01/30/19
EDUC,2402,Field Experience II,A-,1.00,1.00,3.6700
ART,3415,Develop of British Painting,A,3.00,3.00,12.0000
INTER,3430,Anatomy Contemporary Britain,A-,3.00,3.00,11.0100
UNIV,2001,Cross Cultural Perspectives,A-,3.00,3.00,11.0100
UNIV,2002,Global Issues,A-,3.00,3.00,11.0100
ENGL,3424,To Hold the Mirror. to Nature,A,3.00,3.00,12.0000
MUSIC,1020,Chorus,A,1.00,1.00,4.0000
,Term,19/SP Totals: 17.00 17.00,64.70,GPA -,3.81,
,,Cumulative Totals: 69.00 81.00,261.72,GPA -,3.79,
,,Academic Standing for Term 19/SP:,HONORS,LIST -,06/19/19,
THEA,2311,Children's Theater,A-,3.00,3.00,11.0100
DAN,1320,Beginning Dance I,A-,3.00,3.00,11.0100
EDUC,6818,Language Develop & Lit I,A-,3.00,3.00,11.0100
THEAH,3337,Night At the Theater,A,3.00,3.00,12.0000
THEA,2339,Musical Theater Workshop,A,3.00,3.00,12.0000
MUSIH,3344,History of the Musical,A,3.00,3.00,12.0000
,,,,,,

