```csv
Subject,Course,Title,Grade,Credit Hours,Quality Points
RANTH2X1,Major Elective Credit,TR,3.000,0.00
ANTH3X1,Cross Cultural Experience,TR,2.000,0.00
ART101,Art Survey,TR,2.000,0.00
BITH111,Gospel,Church & Culture,TR,3.000,0.00
BITH211,OT Lit & Interpretation,TR,3.000,0.00
BITH213,NT Lit & Interpretation,TR,3.000,0.00
C E111,Foundations of Ministry,TR,3.000,0.00
CSCI135,Computer Literacy,TR,2.000,0.00
ENGW103,Composition & Research,TR,3.000,0.00
HIST115,World Civilization To 1600,TR,3.000,0.00
IDS1X1,Partic in Arts,TR,1.000,0.00
IDS1X2,Intercultural Re-entry,TR,1.000,0.00
MUCS101,Intro To Music: Historical,TR,2.000,0.00
PSYC101,Intro to Psychology,TR,3.000,0.00
PSYC1X1,Intrapersonal Psych,TR,2.000,0.00
